,id,prod,cat,video_id,aspect,negative,neutral,positive
0,13,VR,Apple,86Gy035z_KA,gaming,0.33936274,0.036032677,0.6246046
0,13,VR,Apple,86Gy035z_KA,mixed reality,0.3390176,0.03176861,0.6292138
0,13,VR,Apple,86Gy035z_KA,Gyroscope,0.34459957,0.03219015,0.6232103
0,13,VR,Apple,86Gy035z_KA,audio,0.34422064,0.031830296,0.6239491
0,13,VR,Apple,86Gy035z_KA,visual,0.3318523,0.03046793,0.63767976
0,13,VR,Apple,86Gy035z_KA,technology,0.33866602,0.03052836,0.6308057
0,13,VR,Apple,86Gy035z_KA,specification,0.33811885,0.031639572,0.6302415
0,14,VR,Apple,86Gy035z_KA,performance,0.20852077,0.09523023,0.69624895
0,14,VR,Apple,86Gy035z_KA,experience,0.19650218,0.091892146,0.71160567
0,14,VR,Apple,86Gy035z_KA,gaming,0.19971123,0.104245596,0.6960432
0,14,VR,Apple,86Gy035z_KA,mixed reality,0.19829985,0.10090306,0.7007971
0,14,VR,Apple,86Gy035z_KA,Gyroscope,0.21886083,0.10618432,0.67495483
0,14,VR,Apple,86Gy035z_KA,audio,0.20284382,0.096312314,0.7008439
0,14,VR,Apple,86Gy035z_KA,visual,0.20164575,0.09437744,0.7039768
0,14,VR,Apple,86Gy035z_KA,technology,0.2052145,0.09680058,0.69798493
0,14,VR,Apple,86Gy035z_KA,specification,0.21934514,0.10215234,0.67850256
0,15,VR,Apple,dtp6b76pMak,performance,0.06518484,0.14996341,0.78485173
0,15,VR,Apple,dtp6b76pMak,experience,0.06508937,0.15207258,0.7828381
0,15,VR,Apple,dtp6b76pMak,gaming,0.07164851,0.19937713,0.72897434
0,15,VR,Apple,dtp6b76pMak,mixed reality,0.0666882,0.16618744,0.7671244
0,15,VR,Apple,dtp6b76pMak,Gyroscope,0.07348819,0.17846279,0.748049
0,15,VR,Apple,dtp6b76pMak,audio,0.06789724,0.169082,0.76302075
0,15,VR,Apple,dtp6b76pMak,visual,0.06806129,0.16094485,0.7709939
0,15,VR,Apple,dtp6b76pMak,technology,0.06927793,0.16702555,0.76369655
0,15,VR,Apple,dtp6b76pMak,specification,0.07168196,0.17738159,0.7509365
0,16,VR,Apple,dtp6b76pMak,performance,0.0359871,0.04013062,0.92388225
0,16,VR,Apple,dtp6b76pMak,experience,0.033122443,0.03823772,0.9286398
0,16,VR,Apple,dtp6b76pMak,gaming,0.03551734,0.04420237,0.9202803
0,16,VR,Apple,dtp6b76pMak,mixed reality,0.033919815,0.04238367,0.9236965
0,16,VR,Apple,dtp6b76pMak,Gyroscope,0.034604102,0.042088747,0.9233071
0,16,VR,Apple,dtp6b76pMak,audio,0.033866234,0.040824782,0.925309
0,16,VR,Apple,dtp6b76pMak,visual,0.033579137,0.039364737,0.9270561
0,16,VR,Apple,dtp6b76pMak,technology,0.032391094,0.037294768,0.9303141
0,16,VR,Apple,dtp6b76pMak,specification,0.03462401,0.04145818,0.9239178
0,17,VR,Apple,dtp6b76pMak,performance,0.03813542,0.055727832,0.90613675
0,17,VR,Apple,dtp6b76pMak,experience,0.03844488,0.057392243,0.9041629
0,17,VR,Apple,dtp6b76pMak,gaming,0.03851328,0.06261606,0.89887065
0,17,VR,Apple,dtp6b76pMak,mixed reality,0.03722294,0.060315844,0.90246123
0,17,VR,Apple,dtp6b76pMak,Gyroscope,0.04098137,0.06651242,0.89250624
0,17,VR,Apple,dtp6b76pMak,audio,0.040680155,0.06481035,0.8945095
0,17,VR,Apple,dtp6b76pMak,visual,0.038751457,0.05955988,0.90168864
0,17,VR,Apple,dtp6b76pMak,technology,0.04033753,0.064102806,0.89555967
0,17,VR,Apple,dtp6b76pMak,specification,0.03942662,0.061883625,0.89868975
0,18,VR,Apple,dtp6b76pMak,performance,0.03202803,0.060974214,0.90699774
0,18,VR,Apple,dtp6b76pMak,experience,0.03142686,0.06250719,0.906066
0,18,VR,Apple,dtp6b76pMak,gaming,0.033105597,0.067234606,0.8996598
0,18,VR,Apple,dtp6b76pMak,mixed reality,0.03256427,0.06610279,0.9013329
0,18,VR,Apple,dtp6b76pMak,Gyroscope,0.033217713,0.06682412,0.89995813
0,18,VR,Apple,dtp6b76pMak,audio,0.032672722,0.066631876,0.90069544
0,18,VR,Apple,dtp6b76pMak,visual,0.03283034,0.0642952,0.9028744
0,18,VR,Apple,dtp6b76pMak,technology,0.031847954,0.064204365,0.90394765
0,18,VR,Apple,dtp6b76pMak,specification,0.033062648,0.0665881,0.90034926
0,19,VR,Apple,dtp6b76pMak,performance,0.041567214,0.058823463,0.8996093
0,19,VR,Apple,dtp6b76pMak,experience,0.036339823,0.05293353,0.9107266
0,19,VR,Apple,dtp6b76pMak,gaming,0.03790616,0.058350757,0.903743
0,19,VR,Apple,dtp6b76pMak,mixed reality,0.04008374,0.060585722,0.8993305
0,19,VR,Apple,dtp6b76pMak,Gyroscope,0.040521804,0.06054496,0.8989333
0,19,VR,Apple,dtp6b76pMak,audio,0.038489204,0.054596305,0.9069145
0,19,VR,Apple,dtp6b76pMak,visual,0.040763814,0.05839318,0.900843
0,19,VR,Apple,dtp6b76pMak,technology,0.042382408,0.059608493,0.89800906
0,19,VR,Apple,dtp6b76pMak,specification,0.040222153,0.05924635,0.90053153
0,20,VR,Apple,4MbshUkkA38,performance,0.0036863813,0.9746123,0.021701302
0,20,VR,Apple,4MbshUkkA38,experience,0.0040815054,0.97096,0.02495846
0,20,VR,Apple,4MbshUkkA38,gaming,0.003096972,0.9812672,0.015635882
0,20,VR,Apple,4MbshUkkA38,mixed reality,0.0032373348,0.9808384,0.015924208
0,20,VR,Apple,4MbshUkkA38,Gyroscope,0.0020337831,0.99014425,0.007822055
0,20,VR,Apple,4MbshUkkA38,audio,0.003015792,0.9831307,0.013853493
0,20,VR,Apple,4MbshUkkA38,visual,0.0023202363,0.9854871,0.012192746
0,20,VR,Apple,4MbshUkkA38,technology,0.0036907801,0.97491306,0.021396235
0,20,VR,Apple,4MbshUkkA38,specification,0.0040708906,0.9707596,0.025169538
0,21,VR,Apple,4MbshUkkA38,performance,0.016703038,0.3407362,0.6425608
0,21,VR,Apple,4MbshUkkA38,experience,0.026344804,0.6000347,0.3736204
0,21,VR,Apple,4MbshUkkA38,gaming,0.021511946,0.80334824,0.17513981
0,21,VR,Apple,4MbshUkkA38,mixed reality,0.03411089,0.72012043,0.24576868
