prod,cat,video_id,aspect,negative,neutral,positive,channelTitle
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
Earphone,Apple,LcI6F_GPwfE,features,0.006466548,0.21062234,0.7829111,Marques Brownlee
