prod,cat,video_id,aspect,negative,neutral,positive,channelTitle
Watch,Google,4hI314YO5mg,display,0.02460224,0.2281001,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,4hI314YO5mg,display,0.02460224,0.22810006,0.7472977,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.3933271,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,ZMa5f8nZjTs,display,0.023448104,0.5832248,0.39332712,CNET
Watch,Google,SBPnfqSQfWg,display,0.006667826,0.48355034,0.50978184,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
Watch,Google,dVPKkPnd0iA,display,0.023223847,0.9739804,0.002795764,CNET
